symbol,snapshot_time,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,beta,profitMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth
RELIANCE.NS,2026-02-16T10:35:57.120691,19447515447296,22449557078016,23.378883,21.762928,2.2173362,0.22,0.08122,0.11852,,,35.651,,,0.104,0.006
TCS.NS,2026-02-16T10:35:58.475476,9792716275712,9292125044736,20.516981,17.597378,8.627247,0.25,0.18295999,0.25179002,0.22512,0.42635,9.444,2.525,2.297,0.049,-0.139
HDFCBANK.NS,2026-02-16T10:35:59.827673,14246225117184,19009248428032,20.651348,16.280188,2.5220592,0.396,0.26187,0.34794998,0.01749,0.14015001,,,,0.264,0.115
ICICIBANK.NS,2026-02-16T10:36:01.230951,10099721502720,10646759407616,19.2631,17.779575,2.8947823,0.187,0.27513,0.33972,0.02142,0.16798,,,,0.03,-0.037
INFY.NS,2026-02-16T10:36:02.595442,5524794900480,5536992460800,19.558865,17.902369,6.608379,0.26,0.16153999,0.18023,0.15672,0.32683,10.531,1.812,1.564,0.032,-0.053
SBIN.NS,2026-02-16T10:36:04.436580,11151509291008,14975833735168,13.158697,13.032424,1.8836504,0.283,0.22498,0.29676,,,,,,0.145,0.093
ITC.NS,2026-02-16T10:36:05.910658,3983668674560,3750061932544,19.566154,19.127895,5.6068916,-0.242,0.43890998,0.32182,,,0.507,,,0.067,0.0
BHARTIARTL.NS,2026-02-16T10:36:07.423494,12362033659904,14353172529152,40.17023,29.90383,9.90357,-0.018,0.14937,0.32164,0.07774,0.23125,117.095,0.45,0.208,0.196,-0.553
LT.NS,2026-02-16T10:36:08.870161,5779631898624,6635222204416,32.89618,26.079256,5.700899,0.252,0.057490002,0.10682,,,111.847,,,0.111,-0.043
AXISBANK.NS,2026-02-16T10:36:10.683306,4219396947968,6302694113280,16.13183,13.409626,2.037336,0.327,0.3417,0.47458,0.01563,0.13625,,,,0.057,0.038
BAJFINANCE.NS,2026-02-16T10:36:12.220051,6295604166656,9541705007104,34.922413,24.829721,6.094002,0.119,0.43703997,0.5555,,,310.294,,,0.065,-0.069
MARUTI.NS,2026-02-16T10:36:13.627061,4732073017344,4715158437888,31.66032,25.906618,4.744205,0.115,0.08693,0.07692,,,0.1,,,0.287,0.041
SUNPHARMA.NS,2026-02-16T10:36:14.828012,4080068984832,3861097480192,37.38184,29.95256,5.2409835,0.095,0.19214001,0.26173002,,,6.675,,,0.135,0.157
TITAN.NS,2026-02-16T10:36:16.352893,3708824846336,3958884007936,77.557045,59.92877,28.9596,0.112,0.06306,0.0986,,,223.018,,,0.433,0.608
ULTRACEMCO.NS,2026-02-16T10:36:18.084979,3818671308800,4067567861760,49.81962,33.57752,5.300771,0.368,0.08936,0.12521,,,33.192,,,0.27,0.151
RELIANCE.BO,2026-02-16T10:36:19.463668,19450430488576,22771583156224,23.367496,21.752329,2.2162564,0.22,0.08122,0.11852,,,35.651,,,0.104,0.006
TCS.BO,2026-02-16T10:36:21.172035,9799880146944,9291944689664,20.529108,17.60778,8.632346,0.25,0.18295999,0.25179002,0.22512,0.42635,9.444,2.525,2.297,0.049,-0.139
HDFCBANK.BO,2026-02-16T10:36:22.901686,14240839630848,19710785617920,20.652756,16.350708,2.5211058,0.396,0.26187,0.34794998,0.01749,0.14015001,,,,0.264,0.115
ICICIBANK.BO,2026-02-16T10:36:24.712764,10088319287296,10515167313920,19.251877,17.75735,2.8919113,0.187,0.27513,0.33972,0.02142,0.16798,,,,0.03,-0.037
INFY.BO,2026-02-16T10:36:26.403815,5530016808960,6146676490240,19.593431,17.911083,6.6211033,0.26,0.16153999,0.18375999,0.15672,0.32683,10.531,1.812,1.564,0.032,-0.053
SBIN.BO,2026-02-16T10:36:28.296364,11149662748672,12470872702976,13.431558,13.486071,1.9584445,0.283,0.22619,0.28039,0.011460001,0.15675999,,,,0.081,0.029
ITC.BO,2026-02-16T10:36:29.772183,3983668674560,3706256883712,19.554121,19.127895,5.6068916,-0.242,0.43890998,0.32182,,,0.507,,,0.067,0.0
LT.BO,2026-02-16T10:36:31.407146,5780990853120,6478800355328,32.852005,26.082981,5.7017136,0.252,0.057490002,0.10682,,,111.847,,,0.111,-0.043
AXISBANK.BO,2026-02-16T10:36:32.984077,4219241496576,6307349266432,16.112099,13.409132,2.037261,0.327,0.3417,0.47458,0.01563,0.13625,,,,0.057,0.038
